Type,Timeframe,Value
Price,January,27.79
Price,February,27.43
Price,March,28.45
Price,April,28.84
Price,May,29.58
Price,June,29.24
Price,July,29.61
Price,August,29.85
Price,September,30.35
Price,October,30.03
Price,November,29.07
Price,December,29.64
Population,January,112931
Population,February,115367
Population,March,122391
Population,April,120087
Population,May,120144
Population,June,117627
Population,July,112931
Population,August,103468
Population,September,118467
Population,October,126164
Population,November,121758
Population,December,114112
Price,Monday,30.63488162276937
Price,Tuesday,28.973817278534273
Price,Wednesday,29.0307713031554
Price,Thursday,29.543769121359038
Price,Friday,29.098741253262702
Price,Saturday,27.155982676479038
Price,Sunday,30.052972468629118
Population,Monday,5936074.0
Population,Tuesday,6712666.0
Population,Wednesday,6976955.0
Population,Thursday,7311376.0
Population,Friday,7424279.0
Population,Saturday,7676987.0
Population,Sunday,6329580.0
