dropoff_date,zone_id,num_trips,avg_fare
2024-10-01,226,137,25.56
2024-10-01,235,14,48.57
2024-10-01,57,1,38.7
2024-10-03,217,7,18.29
2024-10-05,244,370,29.58
2024-10-07,198,61,33.85
2024-10-09,218,21,28.73
2024-10-10,245,3,34.37
2024-10-12,257,46,43.57
2024-10-19,242,17,28.98
2024-10-20,242,14,29.25
2024-10-31,223,133,28.13
2024-05-01,133,35,50.14
2024-05-04,177,46,35.23
2024-05-05,248,14,32.68
2024-05-12,213,35,35.66
2024-05-13,257,36,53.27
2024-05-15,206,2,126.55
2024-05-16,258,30,28.65
2024-05-19,265,528,97.46
2024-05-28,215,40,28.65
2024-05-29,206,2,92.95
2024-05-30,177,30,41.77
2024-06-01,229,2583,14.61
2024-10-02,174,13,48.07
2024-10-05,151,1058,16.35
2024-10-06,27,6,63.08
2024-10-07,108,8,50.58
2024-10-07,96,3,36.83
2024-10-09,140,2914,15.55
2024-10-09,28,48,25.49
2024-10-09,185,6,36.07
2024-10-09,57,5,39.96
2024-10-13,41,721,21.8
2024-10-13,19,18,37.97
2024-10-14,198,62,34.43
2024-10-14,159,21,25.79
2024-10-14,46,3,62.97
2024-10-18,21,12,43.51
2024-10-18,124,34,23.5
2024-10-19,197,43,26.65
2024-10-21,26,56,44.37
2024-10-21,139,28,30.54
2024-10-21,18,17,42.7
2024-10-22,169,10,42.97
2024-10-22,6,1,76.5
2024-10-22,28,57,30.76
2024-10-23,23,3,88.17
2024-10-24,168,56,28.53
2024-10-25,38,10,40.11
2024-10-28,197,69,22.85
2024-10-30,39,73,27.53
2024-10-31,148,1359,21.56
2024-10-31,188,124,37.79
2024-10-31,135,37,27.65
2024-05-03,68,3394,16.7
2024-05-05,169,19,41.67
2024-05-06,116,222,29.0
2024-05-07,125,604,20.02
2024-05-08,192,16,36.16
2024-05-11,25,209,35.21
2024-05-13,181,226,45.84
2024-05-16,76,83,36.25
2024-05-18,125,837,17.35
2024-05-18,9,15,39.65
2024-05-19,45,396,18.92
2024-05-19,8,4,31.24
2024-05-24,21,25,44.72
2024-05-24,115,1,90.0
2024-05-26,161,2550,14.17
2024-05-27,7,243,26.18
2024-05-27,86,22,43.42
2024-05-28,63,29,30.35
2024-05-28,147,7,49.31
2024-05-29,108,17,46.67
2024-05-29,184,2,51.95
2024-05-29,58,4,53.88
2024-05-30,79,1983,16.82
2024-05-30,153,6,50.1
2024-05-31,153,4,38.78
2024-06-01,26,13,49.08
2024-10-02,92,57,37.19
2024-10-10,238,3192,15.73
2024-10-13,250,11,35.95
2024-10-14,220,31,48.77
2024-10-17,252,35,34.58
2024-10-18,248,17,47.13
2024-10-20,209,427,23.73
2024-10-21,203,35,29.6
2024-10-24,238,2947,16.3
2024-10-25,265,548,97.8
2024-10-25,153,6,55.97
2024-10-28,231,1677,22.23
2024-05-01,201,21,43.56
2024-05-03,264,589,20.0
2024-05-06,228,51,44.94
2024-05-08,212,17,37.17
2024-05-18,229,2957,14.68
2024-05-20,198,66,36.33
2024-05-25,215,50,31.22
2024-05-26,248,14,24.1
2024-05-28,225,116,37.87
2024-05-29,252,28,40.17
2024-10-03,185,10,54.27
2024-10-05,181,312,40.64
2024-10-04,184,1,56.2
2024-10-04,57,4,22.73
2024-10-04,172,2,48.95
2024-10-05,22,23,44.31
2024-10-06,182,12,41.67
2024-10-07,187,1,103.1
2024-10-08,121,16,30.93
2024-10-10,42,523,24.03
2024-10-10,45,341,21.55
2024-10-11,93,36,35.23
2024-10-11,207,15,1.93
2024-10-12,112,350,28.89
2024-10-12,8,3,64.59
2024-10-13,10,141,21.42
2024-10-15,148,965,21.69
2024-10-17,13,1205,23.88
2024-10-17,116,273,28.37
2024-10-17,11,13,42.51
2024-10-18,137,1561,14.75
2024-10-18,64,13,56.06
2024-10-19,58,4,64.25
2024-10-21,189,92,40.52
2024-10-23,155,33,42.79
2024-10-23,8,4,25.4
2024-10-26,7,381,29.75
2024-10-26,152,224,21.64
2024-10-27,137,1499,14.94
2024-10-27,113,1604,16.53
2024-10-28,119,35,38.75
2024-10-28,124,36,25.27
2024-10-30,51,23,46.39
2024-10-30,47,11,34.95
2024-10-31,102,23,30.42
2024-11-01,34,18,23.41
2024-05-04,45,408,19.72
2024-05-05,133,28,54.98
2024-05-07,14,81,53.92
2024-05-07,11,9,53.2
2024-05-08,157,37,33.8
2024-05-09,122,8,26.29
2024-05-10,164,2743,18.04
2024-05-11,17,135,35.41
2024-05-11,164,2617,17.46
2024-05-12,97,129,36.12
2024-05-12,214,2,84.55
2024-05-13,77,21,33.93
2024-05-14,61,158,36.79
2024-05-15,30,1,69.5
2024-05-17,159,32,30.18
2024-05-20,117,16,52.09
2024-05-21,13,955,25.32
2024-05-22,52,95,33.0
2024-05-25,81,14,39.54
2024-05-25,91,42,33.73
2024-05-25,77,21,26.4
2024-05-26,22,14,47.63
2024-05-27,79,1849,17.5
2024-05-27,123,10,50.43
2024-05-28,159,28,27.3
2024-05-29,131,20,38.75
2024-05-31,145,319,26.18
2024-10-01,29,18,54.92
2024-10-01,150,13,50.45
2024-10-21,262,1643,17.27
2024-10-22,212,12,36.49
